ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de indices enlazados  de la produccion nominal y real,  ventas nominal y real  y empleo (total y por area funcional),  segun clase industrial;;;;;;;;;;
Enero 2001  - Octubre 2023p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicacion Diciembre 15 de 2023;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;YEAR;MES ;Clases industriales;Produccion nominal;Produccion real;Ventas nominal;Ventas reales;Empleo  Total;Personal de Administracion;Personal de Produccion
2020d;2001;1;Fabricacion de otros productos quimicos;33,2;63,8;35,3;67,5;92,1;113,1;78,4
2020d;2001;2;Fabricacion de otros productos quimicos;40,4;75,6;41,4;77,7;95,3;116,3;81,3
2020d;2001;3;Fabricacion de otros productos quimicos;47,6;87,9;46,9;86,3;94,6;115,2;80,7
2020d;2001;4;Fabricacion de otros productos quimicos;44,9;82,7;42,7;78,8;96,9;118,4;82,4
2020d;2001;5;Fabricacion de otros productos quimicos;48,2;88,3;49,3;90,3;95,2;117;80,4
2020d;2001;6;Fabricacion de otros productos quimicos;46,9;86,2;48,6;90;94,9;119,3;78,7
2020d;2001;7;Fabricacion de otros productos quimicos;43,7;80,1;52,4;96,6;94,7;118,6;78,5
2020d;2001;8;Fabricacion de otros productos quimicos;44;80,8;44,2;81,3;94,2;117,7;77,7
2020d;2001;9;Fabricacion de otros productos quimicos;46,3;84,5;45,8;83,8;93,6;117,9;77
2020d;2001;10;Fabricacion de otros productos quimicos;47,9;86,1;46,9;84,4;95,7;121,5;78
2020d;2001;11;Fabricacion de otros productos quimicos;47,9;86;55;99,3;96,2;120,7;79,2
2020d;2001;12;Fabricacion de otros productos quimicos;40,8;72,5;47,4;84,2;95,9;119,4;79,3
2020d;2002;1;Fabricacion de otros productos quimicos;41;74,1;37,6;67,7;90;112,7;74,9
2020d;2002;2;Fabricacion de otros productos quimicos;44,4;78,4;41,6;73,7;95,1;118,1;79,5
2020d;2002;3;Fabricacion de otros productos quimicos;43,6;76,5;43,5;76,3;94,3;115,6;79,7
2020d;2002;4;Fabricacion de otros productos quimicos;51,5;90,4;50,3;88,5;93,8;116,3;78,5
2020d;2002;5;Fabricacion de otros productos quimicos;48,1;84,6;50,4;88,6;93,2;116,5;77,3
2020d;2002;6;Fabricacion de otros productos quimicos;46,9;82,8;52,7;93,6;92;116,2;76
2020d;2002;7;Fabricacion de otros productos quimicos;47,1;82;48;84,1;91,4;114,4;75,8
2020d;2002;8;Fabricacion de otros productos quimicos;47;81,7;51,7;90,1;91,9;113,5;76,8
2020d;2002;9;Fabricacion de otros productos quimicos;47,6;81,7;52,5;90,3;91,9;114,5;76,5
2020d;2002;10;Fabricacion de otros productos quimicos;49,7;84;53,3;90,3;93,6;118,3;76,6
2020d;2002;11;Fabricacion de otros productos quimicos;45,6;77,4;57,9;98,9;92,4;114,7;76,9
2020d;2002;12;Fabricacion de otros productos quimicos;38,6;64,4;47,4;79,1;91,7;115;75,4
2020d;2003;1;Fabricacion de otros productos quimicos;38,5;64,8;39,3;66;86,3;108,7;71,3
2020d;2003;2;Fabricacion de otros productos quimicos;47,5;77,8;46,8;77,1;91,1;115,2;74,8
2020d;2003;3;Fabricacion de otros productos quimicos;54,5;88,6;53,6;87,1;92,3;115,9;76,1
2020d;2003;4;Fabricacion de otros productos quimicos;47,6;76,9;49,8;80,5;91,2;115,2;74,7
2020d;2003;5;Fabricacion de otros productos quimicos;50,8;82,4;51;82,8;90,2;114,4;73,7
2020d;2003;6;Fabricacion de otros productos quimicos;44;71,8;51,7;85,1;88,4;113;72
2020d;2003;7;Fabricacion de otros productos quimicos;49,8;80,9;52,6;86;89,8;113,5;73,7
2020d;2003;8;Fabricacion de otros productos quimicos;47,3;77;50,5;82,5;90,4;111,8;75,5
2020d;2003;9;Fabricacion de otros productos quimicos;51,5;83,5;56,4;91,9;90,9;114,3;74,8
2020d;2003;10;Fabricacion de otros productos quimicos;50,6;80,6;51,8;82,8;91,8;116,3;75
2020d;2003;11;Fabricacion de otros productos quimicos;49,9;79,3;55,5;88,8;92,1;114,9;76,4
2020d;2003;12;Fabricacion de otros productos quimicos;42,2;66,7;50,6;80;91,1;113,1;75,6
2020d;2004;1;Fabricacion de otros productos quimicos;36,8;59,2;40,6;65,2;84,4;106,2;69,9
2020d;2004;2;Fabricacion de otros productos quimicos;49,5;78;48,5;76,7;88,3;109,7;73,9
2020d;2004;3;Fabricacion de otros productos quimicos;55,1;86,5;53,9;84,4;89,1;108,5;75,8
2020d;2004;4;Fabricacion de otros productos quimicos;49,4;77,4;52,6;82,7;88,4;108,6;74,6
2020d;2004;5;Fabricacion de otros productos quimicos;55,3;86,6;54,4;85;88,7;108,4;75,3
2020d;2004;6;Fabricacion de otros productos quimicos;53,4;83,9;60,9;96,4;88;109,2;74
2020d;2004;7;Fabricacion de otros productos quimicos;51,1;80,4;53,5;84,4;88,5;110,1;73,9
2020d;2004;8;Fabricacion de otros productos quimicos;51;80,8;53,9;85,5;88,9;108,9;75
