"";"Point Forecast";"Lo 95";"Hi 95"
"2022/11";159,978049695103;144,135276576333;177,562197070439
"2022/12";142,552009237771;127,705334365272;159,124718154699
"2023/1";133,479815673009;118,821039821644;149,947023009094
"2023/2";155,345608212926;138,013852711934;174,853882540424
"2023/3";168,607148469475;149,619742150568;190,004140539147
"2023/4";157,197529816912;139,424524134616;177,236132121778
"2023/5";173,340462728852;153,70249934828;195,487491397054
"2023/6";171,208934029238;151,787007293959;193,115995986796
"2023/7";173,779650829292;154,06514247721;196,016870245764
"2023/8";174,978728906197;154,878897029792;197,687071362206
"2023/9";184,208568230489;162,965108031711;208,221238394933
"2023/10";180,236881858821;159,305519368304;203,918443698655
