"";"Estimate";"Std. Error";"t value";"Pr(>|t|)"
"ar1";0,335028554407548;0,0579172232555246;5,78461009654137;2,26552642449699e-08
"ar2";0,251282698875097;0,0603029022226024;4,16700837958861;4,31545317390487e-05
"ar7";-0,152689639004337;0,100136416110823;-1,52481629495659;0,128627074018482
"ar9";0,233485866407316;0,0748489391202886;3,11942786566533;0,00203456535570676
"ar15";-0,139419585838372;0,0336492830226457;-4,14331520064019;4,75318912480537e-05
"ma7";0,161748676852471;0,116817113226859;1,3846316895227;0,167456398197067
"ma16";-0,0696077989324705;0,0646929461949684;-1,07597200354255;0,283024722765608
"intercept";3,65219765324051;0,0381979613558031;95,6123710169065;1,79531205623337e-192
"t";0,00208099672049751;0,00182835906721059;1,13817726387429;0,256186119627607
"t2";4,35927201277088e-05;6,70158225189456e-05;0,650483997497531;0,516004454013714
"t3";-3,09617064690839e-07;NA;NA;NA
"t4";6,94826925018082e-10;NA;NA;NA
"Jan";-0,0636940943037634;0,0133902899969671;-4,75673748053179;3,40471109893555e-06
"Feb";0,0783846723967176;0,0148476681563192;5,2792581011017;2,91206082414418e-07
"Mar";0,173382369665203;0,0170786269321589;10,152008727278;2,29896244391235e-20
"Apr";0,10029274486264;0,0191960374738991;5,22465873485652;3,79856536425433e-07
"May";0,159481743862648;0,0196032454527401;8,13547655907944;2,24381222217936e-14
"Jun";0,138144468232453;0,0198374659888211;6,96381626112432;3,18097307820478e-11
"Jul";0,13556275193249;0,0196157207925977;6,91092381288621;4,3434853997571e-11
"Aug";0,141304277137147;0,0191946733423233;7,36164010801782;2,91632784220941e-12
"Sep";0,181750694534069;0,0170282499194255;10,673480562834;5,30743488810726e-22
"Oct";0,157952022405839;0,0147829636590957;10,684733186681;4,88936630471598e-22
"Nov";0,13281631659885;0,0134765379435281;9,85537362454673;1,89984171240959e-19
